path	line	language	literal	keys	source
lib/features/chat/screens/chat_detail_screen.dart	714	VI	Tin nhắn đã bị thu hồi	chatScreenRevokedMessage	content: 'Tin nhắn đã bị thu hồi',
lib/features/chat/widgets/chat_image_viewer.dart	112	VI	Đóng	close,payments_close,clubTournamentsClose	tooltip: 'Đóng',
lib/features/chat/widgets/chat_room_settings_sheet.dart	205	VI	Hủy	matchesCancel,matchCancel	child: const Text('Hủy'),
lib/features/chat/widgets/chat_room_settings_sheet.dart	300	VI	Hủy	matchesCancel,matchCancel	child: const Text('Hủy'),
lib/features/chat/widgets/chat_room_settings_sheet.dart	361	VI	Thành viên	memberRole,club_membersLabel,club_activeMembers,club_memberChip,club_tabMembers,clubRankingMemberFallback	subtitle: Text(participant.role ?? 'Thành viên'),
lib/features/community/screens/club_detail_screen.dart	321	VI	Chia sẻ	share	tooltip: 'Chia sẻ',
lib/features/community/screens/club_detail_screen.dart	808	VI	Hủy	matchesCancel,matchCancel	child: const Text('Hủy'),
lib/features/community/screens/club_detail_screen.dart	886	VI	Hủy	matchesCancel,matchCancel	child: const Text('Hủy'),
lib/features/community/screens/club_detail_screen.dart	2236	VI	Tạo nhanh trên Web	clubTournamentsWebTitle	Text('Tạo nhanh trên Web', style: TextStyle(fontSize: 15, fontWeight: FontWeight.bold, color: colors.textPrimary)),
lib/features/community/screens/club_detail_screen.dart	3768	VI	Trạng thái	filterStatus,tennisInfoStatus,club_statusLabel	label: 'Trạng thái',
lib/features/community/screens/club_management_screen.dart	186	VI	Từ chối	notification_decline,club_reject	Expanded(child: OutlinedButton(onPressed: _isModeratingPost ? null : () => _moderatePost(post, 'REJECTED'), child: const Text('Từ chối'))),
lib/features/community/screens/club_management_screen.dart	188	VI	Duyệt	club_approve	Expanded(child: FilledButton(onPressed: _isModeratingPost ? null : () => _moderatePost(post, 'PUBLISHED'), child: const Text('Duyệt'))),
lib/features/community/screens/club_management_screen.dart	469	VI	Đóng	close,payments_close,clubTournamentsClose	child: const Text('Đóng'),
lib/features/community/screens/club_management_screen.dart	684	VI	Quản lý giải	lite_managementTitle	label: Text(isQuick ? 'Quản lý Lite' : 'Quản lý giải', style: const TextStyle(fontSize: 11.5, fontWeight: FontWeight.bold)),
lib/features/community/screens/create_club_tournament_screen.dart	785	VI	Chia sẻ	share	label: const Text('Chia sẻ', style: TextStyle(fontSize: 13)),
lib/features/community/screens/edit_club_screen.dart	108	VI	Chụp ảnh mới	profileTakePhoto,edit_take_photo	title: const Text('Chụp ảnh mới'),
lib/features/community/screens/edit_club_screen.dart	116	VI	Chọn từ thư viện	profileChooseFromGallery,edit_choose_from_library	title: const Text('Chọn từ thư viện'),
lib/features/community/screens/edit_club_screen.dart	1012	VI	Thử lại	infoRetry,matchesRetry,matchChatRetry,myReportsRetry	FilledButton(onPressed: onRetry, child: const Text('Thử lại')),
lib/features/community/social/club_chat_screen.dart	705	VI	Sao chép	lite_copy	title: const Text('Sao chép'),
lib/features/community/social/community_social_screen.dart	143	VI	Hủy	matchesCancel,matchCancel	child: const Text('Hủy'),
lib/features/community/social/community_social_screen.dart	147	VI	Xóa	delete	child: const Text('Xóa'),
lib/features/community/social/community_social_screen.dart	473	VI	Thử lại	infoRetry,matchesRetry,matchChatRetry,myReportsRetry	trailing: TextButton(onPressed: onRetry, child: const Text('Thử lại')),
lib/features/community/social/widgets/community_comment_sheet.dart	153	VI	Hủy	matchesCancel,matchCancel	child: const Text('Hủy'),
lib/features/community/social/widgets/community_comment_sheet.dart	158	VI	Xóa	delete	child: const Text('Xóa'),
lib/features/community/social/widgets/community_comment_sheet.dart	334	VI	Đóng	close,payments_close,clubTournamentsClose	tooltip: 'Đóng',
lib/features/community/social/widgets/community_composer.dart	250	VI	Không tìm thấy thành viên	clubRankingSearchEmpty	? SizedBox(height: 52, child: Center(child: Text('Không tìm thấy thành viên', style: TextStyle(color: colors.textMuted))))
lib/features/community/social/widgets/community_poll_widget.dart	53	VI	Hủy	matchesCancel,matchCancel	actions: [TextButton(onPressed: () => Navigator.pop(dialogContext), child: const Text('Hủy')), FilledButton(onPressed: () => Navigator.pop(dialogContext, controller.text.trim()), child: const Text('Thêm'))],
lib/features/community/social/widgets/community_post_card.dart	563	VI	Đóng	close,payments_close,clubTournamentsClose	tooltip: 'Đóng',
lib/features/community/widgets/club_visibility_selector.dart	19	VI	Công khai	rank_public	label: 'Công khai',
lib/features/community/widgets/community_social_settings_sheet.dart	108	VI	Đang lưu...	matchSaving	FilledButton.icon(onPressed: _saving ? null : _save, icon: const Icon(Icons.save_outlined), label: Text(_saving ? 'Đang lưu...' : 'Lưu cài đặt')),
lib/features/community/widgets/community_social_settings_sheet.dart	133	VI	Đóng	close,payments_close,clubTournamentsClose	Widget build(BuildContext context) => AlertDialog(title: const Text('Chọn màu tag'), content: Wrap(spacing: 12, runSpacing: 12, children: const ['#3B82F6', '#10B981', '#F59E0B', '#EF4444', '#8B5CF6', '#EC4899'].map((color) => InkWell(onTap: () => Navigator.pop(context, color), child: CircleAvatar(backgroundColor: Color(int.parse('FF${color.substring(1)}', radix: 16)), radius: 18))).toList()), actions: [TextButton(onPressed: () => Navigator.pop(context), child: const Text('Đóng'))]);
lib/features/football_team/screens/football_teams_screen.dart	125	VI	Đội bóng của tôi	dashboardFootballTeams	appBar: AppBar(title: const Text('Đội bóng của tôi')),
lib/features/football_team/screens/football_teams_screen.dart	157	VI	Tạo	lite_create	FilledButton(onPressed: _saving ? null : _create, child: const Text('Tạo')),
lib/features/football_team/screens/football_teams_screen.dart	187	VI	Tên đội	doublesRegTeamName	Expanded(child: TextField(controller: _name, decoration: const InputDecoration(labelText: 'Tên đội'))),
lib/features/football_team/screens/football_teams_screen.dart	193	VI	Mời thành viên	club_inviteMember	const Text('Mời thành viên', style: TextStyle(fontWeight: FontWeight.w800)),
lib/features/football_team/screens/football_teams_screen.dart	222	VI	Quản lý	club_manageShort	DropdownMenuItem(value: 'MANAGER', child: Text('Quản lý')),
lib/features/football_team/screens/football_teams_screen.dart	223	VI	Thành viên	memberRole,club_membersLabel,club_activeMembers,club_memberChip,club_tabMembers,clubRankingMemberFallback	DropdownMenuItem(value: 'PLAYER', child: Text('Thành viên')),
lib/features/football_team/screens/football_teams_screen.dart	244	VI	Hủy lời mời	club_cancelInvite	tooltip: 'Hủy lời mời',
lib/features/home/screens/home_screen.dart	1266	VI	Nội dung	filterContent,registerTypeDefault	title: 'Nội dung',
lib/features/home/screens/home_screen.dart	1281	VI	Thể thức	filterFormat,formatLabel,clubRankingFormat	title: 'Thể thức',
lib/features/home/screens/home_screen.dart	1295	VI	Xếp hạng	navRankings,club_tabRankings	title: 'Xếp hạng',
lib/features/home/screens/home_screen.dart	2463	VI	Đăng ký	registerButton,register,matchesFilterRegistration,registerRegLabel	(key: "registration", label: "Đăng ký"),
lib/features/home/widgets/explore_tab.dart	688	VI	Tất cả	infoAll,filterAll,matchesFilterAll,matchesStatusAll,payments_filterAll,notification_all,paymentsFilterAll	label: AppLocalizations.of(context)?.infoAll ?? 'Tất cả',
lib/features/home/widgets/tournament_card.dart	196	VI	Xóa giải đấu?	deleteTournamentTitle	title: 'Xóa giải đấu?',
lib/features/home/widgets/tournament_card.dart	197	VI	Thao tác này không thể hoàn tác.	deleteTournamentContent	content: 'Thao tác này không thể hoàn tác.',
lib/features/home/widgets/tournament_card.dart	208	VI	Đã xóa giải đấu thành công	tournamentDeleted	content: Text('Đã xóa giải đấu thành công'),
lib/features/lite/screens/lite_management_screen.dart	757	VI	Hủy	matchesCancel,matchCancel	child: const Text('Hủy'),
lib/features/lite/widgets/football_registration_groups.dart	246	VI	Hủy	matchesCancel,matchCancel	child: const Text('Hủy'),
lib/features/live/screens/live_match_screen.dart	517	VI	Còn lại	liveMatchesRemainingStat	label: 'Còn lại',
lib/features/match/screens/live_score_screen.dart	132	VI	Chưa thể gửi cổ vũ. Vui lòng thử lại.	matchLiveCheerError	const SnackBar(content: Text('Chưa thể gửi cổ vũ. Vui lòng thử lại.')),
lib/features/match/screens/live_score_screen.dart	233	VI	Không thể gửi bình luận. Vui lòng thử lại!	matchCommentError	content: Text('Không thể gửi bình luận. Vui lòng thử lại!'),
lib/features/match/screens/live_score_screen.dart	404	VI	Hủy	matchesCancel,matchCancel	child: const Text('Hủy'),
lib/features/match/screens/live_score_screen.dart	596	VI	Quay lại	matchBack,myReportsBack	child: const Text('Quay lại'),
lib/features/match/screens/live_score_screen.dart	980	VI	Giới hạn thời gian (phút, tuỳ chọn)	matchTimeLimit	labelText: 'Giới hạn thời gian (phút, tuỳ chọn)',
lib/features/match/screens/live_score_screen.dart	1381	VI	Hủy	matchesCancel,matchCancel	child: const Text('Hủy'),
lib/features/match/widgets/football_score_panel.dart	38	VI	Trạng thái	filterStatus,tennisInfoStatus,club_statusLabel	Expanded(child: DropdownButtonFormField<String>(initialValue: score.phase, isExpanded: true, decoration: const InputDecoration(labelText: 'Trạng thái', isDense: true), items: phases.map((phase) => DropdownMenuItem(value: phase, child: Text(_label(phase), overflow: TextOverflow.ellipsis))).toList(), onChanged: (value) { if (value != null) notifier.footballSetPhase(value); })),
lib/features/match/widgets/football_score_panel.dart	205	VI	Phút	registerMinutes	decoration: const InputDecoration(labelText: 'Phút', isDense: true),
lib/features/match/widgets/injury_input_dialog.dart	102	VI	Hủy	matchesCancel,matchCancel	child: Text('Hủy', style: TextStyle(color: context.colors.textMuted)),
lib/features/match/widgets/injury_input_dialog.dart	115	VI	Xác nhận	matchConfirm,lite_confirmButton	child: const Text('Xác nhận'),
lib/features/match/widgets/match_chat_widget.dart	145	VI	Không thể gửi tin nhắn. Vui lòng thử lại.	matchChatSendError	content: Text('Không thể gửi tin nhắn. Vui lòng thử lại.'),
lib/features/match/widgets/match_chat_widget.dart	307	VI	Nhập tin nhắn...	matchChatMessageHint	hintText: 'Nhập tin nhắn...',
lib/features/match/widgets/official_score_modal.dart	467	VI	Hủy	matchesCancel,matchCancel	child: const Text('Hủy'),
lib/features/match/widgets/official_score_modal.dart	471	VI	Xác nhận	matchConfirm,lite_confirmButton	child: const Text('Xác nhận'),
lib/features/match/widgets/official_score_modal.dart	795	VI	Hủy	matchesCancel,matchCancel	child: const Text('Hủy'),
lib/features/match/widgets/official_score_modal.dart	799	VI	Xác nhận	matchConfirm,lite_confirmButton	child: const Text('Xác nhận'),
lib/features/match/widgets/official_score_modal.dart	984	VI	Đóng	close,payments_close,clubTournamentsClose	child: const Text('Đóng'),
lib/features/match/widgets/team_score_card.dart	116	VI	Lỗi: Bạn không có quyền sửa điểm.	teamScoreCardError	const SnackBar(content: Text('Lỗi: Bạn không có quyền sửa điểm.')),
lib/features/payment/screens/payos_verify_screen.dart	129	VI	Xác nhận thanh toán	checkoutTitle	title: const Text('Xác nhận thanh toán'),
lib/features/profile/screens/profile_screen.dart	1520	VI	Chủ giải	dashboard_organizer	label: 'Chủ giải',
lib/features/profile/screens/profile_screen.dart	1526	VI	Ban tổ chức	infoOrganizer,dashboard_coOrganizer	label: 'Ban tổ chức',
lib/features/profile/screens/profile_screen.dart	1532	VI	Trọng tài	infoReferee,notification_roleReferee	label: 'Trọng tài',
lib/features/profile/screens/profile_screen.dart	1677	VI	Tạo CLB mới	infoCreateClub	label: const Text('Tạo CLB mới'),
lib/features/profile/screens/profile_screen.dart	1707	VI	Tạo CLB mới	infoCreateClub	label: const Text('Tạo CLB mới'),
lib/features/profile/screens/profile_screen.dart	2211	VI	Xóa giải đấu?	deleteTournamentTitle	title: const Text('Xóa giải đấu?'),
lib/features/profile/screens/profile_screen.dart	2219	VI	Hủy	matchesCancel,matchCancel	child: const Text('Hủy'),
lib/features/profile/screens/profile_screen.dart	2223	VI	Xóa	delete	child: Text('Xóa', style: TextStyle(color: colors.error)),
lib/features/profile/screens/profile_screen.dart	2330	VI	Quản lý giải Nâng Cao	dashboard_manageAdvancedTitle	title: const Text('Quản lý giải Nâng Cao'),
lib/features/profile/screens/profile_screen.dart	2338	VI	Đã hiểu	dashboard_gotIt	child: const Text('Đã hiểu'),
lib/features/profile/screens/profile_screen.dart	2713	VI	Thử lại	infoRetry,matchesRetry,matchChatRetry,myReportsRetry	child: const Text('Thử lại'),
lib/features/profile/screens/settings_screen.dart	225	VI	Chụp ảnh mới	profileTakePhoto,edit_take_photo	title: const Text('Chụp ảnh mới'),
lib/features/profile/screens/settings_screen.dart	233	VI	Chọn từ thư viện	profileChooseFromGallery,edit_choose_from_library	title: const Text('Chọn từ thư viện'),
lib/features/profile/screens/settings_screen.dart	384	VI	Nam	registerDivMale,clubRankingMale	DropdownMenuItem(value: 'Nam', child: Text('Nam')),
lib/features/profile/screens/settings_screen.dart	384	VI	Nam	registerDivMale,clubRankingMale	DropdownMenuItem(value: 'Nam', child: Text('Nam')),
lib/features/profile/screens/settings_screen.dart	385	VI	Nữ	registerDivFemale,clubRankingFemale	DropdownMenuItem(value: 'Nữ', child: Text('Nữ')),
lib/features/profile/screens/settings_screen.dart	385	VI	Nữ	registerDivFemale,clubRankingFemale	DropdownMenuItem(value: 'Nữ', child: Text('Nữ')),
lib/features/profile/screens/settings_screen.dart	386	VI	Khác	otherDivision,matchesOther,myReportsCategoryOther	DropdownMenuItem(value: 'Khác', child: Text('Khác')),
lib/features/profile/screens/settings_screen.dart	386	VI	Khác	otherDivision,matchesOther,myReportsCategoryOther	DropdownMenuItem(value: 'Khác', child: Text('Khác')),
lib/features/profile/screens/settings_screen.dart	450	VI	Đã lưu thay đổi	edit_saved_changes	content: const Text('Đã lưu thay đổi'),
lib/features/profile/screens/settings_screen.dart	1332	VI	Xác nhận xóa	club_deleteMemberTitle	: const Text('Xác nhận xóa'),
lib/features/profile/screens/settings_screen.dart	1364	VI	Email	contactEmail,edit_email_label	title: 'Email',
lib/features/profile/screens/settings_screen.dart	1372	VI	Số điện thoại	infoPhone	title: 'Số điện thoại',
lib/features/profile/screens/settings_screen.dart	1382	VI	Xác minh Email	edit_verify_email	title: 'Xác minh Email',
lib/features/profile/screens/settings_screen.dart	1383	VI	Gửi mã xác minh tới email đang dùng	edit_verify_email_desc	subtitle: 'Gửi mã xác minh tới email đang dùng',
lib/features/profile/screens/settings_screen.dart	1396	VI	Xác minh số điện thoại	edit_phone_verify_title	title: 'Xác minh số điện thoại',
lib/features/profile/screens/settings_screen.dart	1432	VI	Đổi mật khẩu	settingsChangePassword,changePassword_title,changePassword_button	title: 'Đổi mật khẩu',
lib/features/profile/screens/settings_screen.dart	1440	VI	Mật khẩu mạnh	edit_strong_password	title: 'Mật khẩu mạnh',
lib/features/profile/screens/settings_screen.dart	1458	VI	Thiết bị hiện tại	edit_current_device	title: 'Thiết bị hiện tại',
lib/features/profile/screens/settings_screen.dart	1459	VI	Đang hoạt động	edit_active	subtitle: 'Đang hoạt động',
lib/features/profile/screens/settings_screen.dart	1497	VI	Báo cáo của tôi	myReportsTitle	title: 'Báo cáo của tôi',
lib/features/profile/screens/settings_screen.dart	1948	VI	Tất cả	infoAll,filterAll,matchesFilterAll,matchesStatusAll,payments_filterAll,notification_all,paymentsFilterAll	title: 'Tất cả',
lib/features/profile/screens/settings_screen.dart	2352	VI	Thử lại	infoRetry,matchesRetry,matchChatRetry,myReportsRetry	FilledButton(onPressed: onRetry, child: const Text('Thử lại')),
lib/features/profile/utils/email_verification_flow.dart	49	VI	Vui lòng nhập mã xác minh	edit_otp_enter_code	const SnackBar(content: Text('Vui lòng nhập mã xác minh')),
lib/features/profile/utils/email_verification_flow.dart	106	VI	Hủy	matchesCancel,matchCancel	child: const Text('Hủy'),
lib/features/profile/utils/email_verification_flow.dart	116	VI	Xác minh	edit_verify	: const Text('Xác minh'),
lib/features/profile/utils/phone_verification_flow.dart	80	VI	Xác minh số điện thoại	edit_phone_verify_title	title: const Text('Xác minh số điện thoại'),
lib/features/profile/utils/phone_verification_flow.dart	95	VI	Mã OTP	edit_otp_label	labelText: 'Mã OTP',
lib/features/profile/utils/phone_verification_flow.dart	105	VI	Hủy	matchesCancel,matchCancel	child: const Text('Hủy'),
lib/features/profile/utils/phone_verification_flow.dart	115	VI	Xác minh	edit_verify	: const Text('Xác minh'),
lib/features/profile/widgets/language_setting_card.dart	76	VI	Tiếng Việt	languageVi	child: Text(l10n?.languageVi ?? 'Tiếng Việt'),
lib/features/profile/widgets/language_setting_card.dart	80	VI	English	languageEn	child: Text(l10n?.languageEn ?? 'English'),
lib/features/rankings/screens/leaderboard_screen.dart	756	VI	Thử lại	infoRetry,matchesRetry,matchChatRetry,myReportsRetry	FilledButton(onPressed: onRetry, child: const Text('Thử lại')),
lib/features/rankings/widgets/elo_progress_card.dart	326	VI	Trận	publicProfileMatchesShort,rankingMatches	_StatChip(label: 'Trận', value: '$matchesPlayed'),
lib/features/rankings/widgets/elo_progress_card.dart	328	VI	Thắng	infoWin,matchWin,rankingWins	_StatChip(label: 'Thắng', value: '$matchesWon'),
lib/features/rankings/widgets/elo_progress_card.dart	330	VI	Tỉ lệ	publicProfileWinRateShort	_StatChip(label: 'Tỉ lệ', value: '$winRate%'),
lib/features/referee/screens/referee_invites_screen.dart	207	VI	Ngày mời	dashboard_inviteDate	label: 'Ngày mời',
lib/features/referee/screens/referee_invites_screen.dart	373	VI	Thử lại	infoRetry,matchesRetry,matchChatRetry,myReportsRetry	FilledButton(onPressed: onRetry, child: const Text('Thử lại')),
lib/features/register/screens/doubles_registration_screen.dart	1571	VI	Xem chi tiết	registerViewDetail,doublesRegViewDetail	child: const Text('Xem chi tiết'),
lib/features/register/screens/football_team_register_screen.dart	201	VI	Xác nhận	matchConfirm,lite_confirmButton	FilledButton.icon(onPressed: _rosterAction ? null : () => _respondToRoster('CONFIRM'), icon: const Icon(Icons.check, size: 16), label: const Text('Xác nhận')),
lib/features/register/screens/football_team_register_screen.dart	203	VI	Từ chối	notification_decline,club_reject	OutlinedButton.icon(onPressed: _rosterAction ? null : () => _respondToRoster('DECLINE'), icon: const Icon(Icons.close, size: 16), label: const Text('Từ chối')),
lib/features/register/screens/football_team_register_screen.dart	224	VI	Thành viên	memberRole,club_membersLabel,club_activeMembers,club_memberChip,club_tabMembers,clubRankingMemberFallback	subtitle: Text(team.role == 'PLAYER' ? 'Thành viên' : 'Có quyền đăng ký'),
lib/features/register/screens/football_team_register_screen.dart	244	VI	Tên đội	doublesRegTeamName	Row(children: [Expanded(child: TextField(controller: _name, decoration: const InputDecoration(hintText: 'Tên đội'))), const SizedBox(width: 8), FilledButton(onPressed: _saving ? null : _create, child: const Text('Tạo'))]),
lib/features/register/screens/football_team_register_screen.dart	244	VI	Tạo	lite_create	Row(children: [Expanded(child: TextField(controller: _name, decoration: const InputDecoration(hintText: 'Tên đội'))), const SizedBox(width: 8), FilledButton(onPressed: _saving ? null : _create, child: const Text('Tạo'))]),
lib/features/register/screens/tournament_register_screen.dart	489	VI	Đóng	close,payments_close,clubTournamentsClose	child: const Text('Đóng'),
lib/features/series/screens/series_detail_screen.dart	183	VI	Thử lại	infoRetry,matchesRetry,matchChatRetry,myReportsRetry	label: const Text('Thử lại'),
lib/features/series/screens/series_detail_screen.dart	360	VI	Giới thiệu	tabAbout,club_aboutSection,club_tabAbout	child: Text('Giới thiệu', style: TextStyle(fontSize: 16, fontWeight: FontWeight.w800, color: colors.textPrimary)),
lib/features/series/screens/series_detail_screen.dart	379	VI	Thông tin	profileTabInfo	child: Text('Thông tin', style: TextStyle(fontSize: 16, fontWeight: FontWeight.w800, color: colors.textPrimary)),
lib/features/series/screens/series_screen.dart	59	VI	Chuỗi giải đấu	settingsSeries	title: const Text('Chuỗi giải đấu'),
lib/features/teams/screens/add_team_screen.dart	164	VI	Thành viên	memberRole,club_membersLabel,club_activeMembers,club_memberChip,club_tabMembers,clubRankingMemberFallback	Text('Thành viên',
lib/features/teams/screens/team_list_screen.dart	133	VI	Quản lý đội / VĐV	manageTeams	title: const Text('Quản lý đội / VĐV'),
lib/features/tournament/screens/create_public_quick_tournament_screen.dart	237	VI	Đang tạo...	lite_creating	child: Text(_isSubmitting ? 'Đang tạo...' : 'Tạo giải nhanh'),
lib/features/tournament/widgets/tournament_settings_form.dart	51	VI	Môn thi đấu	club_sportLabel	title: 'Môn thi đấu',
lib/features/tournament/widgets/tournament_settings_form.dart	56	VI	Nội dung thi đấu	bracketTypeLabel	title: 'Nội dung thi đấu',
lib/shared/widgets/app_image_viewer.dart	211	VI	Đóng	close,payments_close,clubTournamentsClose	tooltip: 'Đóng',
lib/shared/widgets/report_sheet.dart	34	VI	Gian lận	myReportsCategoryCheating	ReportReason(key: 'cheating', label: 'Gian lận', icon: Icons.gavel_rounded),
lib/shared/widgets/report_sheet.dart	35	VI	Khác	otherDivision,matchesOther,myReportsCategoryOther	ReportReason(key: 'other', label: 'Khác', icon: Icons.more_horiz_rounded),
lib/shared/widgets/withdraw_sheet.dart	271	VI	Tên ngân hàng	edit_bank_name	labelText: 'Tên ngân hàng',
lib/shared/widgets/withdraw_sheet.dart	289	VI	Số tài khoản	edit_bank_account_number	labelText: 'Số tài khoản',
lib/shared/widgets/withdraw_sheet.dart	290	VI	Nhập số tài khoản	edit_bank_account_hint	hintText: 'Nhập số tài khoản',
lib/shared/widgets/withdraw_sheet.dart	307	VI	Chủ tài khoản	edit_bank_account_name	labelText: 'Chủ tài khoản',
lib/shared/widgets/withdraw_sheet.dart	364	VI	Đang xử lý...	doublesRegProcessing,joinTeamProcessing,payments_processing,resetPassword_submitting,club_joinLoading	Text(_submitting ? 'Đang xử lý...' : 'Xác nhận rút lui'),
lib/shared/widgets/withdraw_sheet.dart	437	VI	Ngân hàng	settingsBankTab,edit_tab_bank	_BankRow(label: 'Ngân hàng', value: bankName, colors: colors),
